scenario,repetition,scheme,test_cindex,test_cindex_gain,support_recovery,no_relation,censoring_fraction
R1_one_reliable,6,joint_m010,0.5967413441955194,0.010183299389002087,0.5,0.0,0.4277777777777778
R1_one_reliable,6,joint_m020,0.6177868295994569,0.031228784792939557,0.55,0.0,0.4277777777777778
R1_one_reliable,7,joint_m0,0.6784232365145229,0.053941908713692976,0.7,0.0,0.3833333333333333
R1_one_reliable,7,joint_m005,0.6784232365145229,0.053941908713692976,0.7,0.0,0.3833333333333333
R1_one_reliable,7,joint_m010,0.6784232365145229,0.053941908713692976,0.7,0.0,0.3833333333333333
R1_one_reliable,7,joint_m020,0.6592323651452282,0.03475103734439833,0.75,0.0,0.3833333333333333
R1_one_reliable,8,joint_m0,0.5727217863608932,-0.004828002414001165,0.55,0.0,0.3833333333333333
R1_one_reliable,8,joint_m005,0.5727217863608932,-0.004828002414001165,0.55,0.0,0.3833333333333333
R1_one_reliable,8,joint_m010,0.5727217863608932,-0.004828002414001165,0.55,0.0,0.3833333333333333
R1_one_reliable,8,joint_m020,0.5727217863608932,-0.004828002414001165,0.55,0.0,0.3833333333333333
R1_one_reliable,9,joint_m0,0.6941783345615328,0.06705969049373617,0.9,0.0,0.45833333333333337
R1_one_reliable,9,joint_m005,0.6941783345615328,0.06705969049373617,0.9,0.0,0.45833333333333337
R1_one_reliable,9,joint_m010,0.6941783345615328,0.06705969049373617,0.9,0.0,0.45833333333333337
R1_one_reliable,9,joint_m020,0.6985998526160648,0.07148120854826823,0.95,0.0,0.45833333333333337
R1_one_reliable,10,joint_m0,0.5903058280438546,-0.005193306405077869,0.4,0.0,0.40555555555555556
R1_one_reliable,10,joint_m005,0.5903058280438546,-0.005193306405077869,0.4,0.0,0.40555555555555556
R1_one_reliable,10,joint_m010,0.5920369301788806,-0.0034622042700518385,0.35,0.0,0.40555555555555556
R1_one_reliable,10,joint_m020,0.5954991344489324,0.0,0.4,1.0,0.40555555555555556
R1_one_reliable,11,joint_m0,0.5295404814004376,0.07293946024799414,0.45,0.0,0.4222222222222223
R1_one_reliable,11,joint_m005,0.5295404814004376,0.07293946024799414,0.45,0.0,0.4222222222222223
R1_one_reliable,11,joint_m010,0.5295404814004376,0.07293946024799414,0.45,0.0,0.4222222222222223
R1_one_reliable,11,joint_m020,0.5091174325309993,0.05251641137855578,0.3,0.0,0.4222222222222223
R1_one_reliable,12,joint_m0,0.7400761283306144,0.02338227297444262,0.75,0.0,0.37777777777777777
R1_one_reliable,12,joint_m005,0.7400761283306144,0.02338227297444262,0.75,0.0,0.37777777777777777
R1_one_reliable,12,joint_m010,0.7400761283306144,0.02338227297444262,0.75,0.0,0.37777777777777777
R1_one_reliable,12,joint_m020,0.7302882001087547,0.01359434475258292,0.8,0.0,0.37777777777777777
R1_one_reliable,13,joint_m0,0.5928927680798005,0.018703241895261846,0.6,0.0,0.3944444444444445
R1_one_reliable,13,joint_m005,0.5928927680798005,0.018703241895261846,0.6,0.0,0.3944444444444445
R1_one_reliable,13,joint_m010,0.5928927680798005,0.018703241895261846,0.6,0.0,0.3944444444444445
R1_one_reliable,13,joint_m020,0.5741895261845387,0.0,0.3,1.0,0.3944444444444445
R1_one_reliable,14,joint_m0,0.6102280580511403,-0.011748445058742174,0.75,0.0,0.4444444444444444
R1_one_reliable,14,joint_m005,0.6102280580511403,-0.011748445058742174,0.75,0.0,0.4444444444444444
R1_one_reliable,14,joint_m010,0.6102280580511403,-0.011748445058742174,0.75,0.0,0.4444444444444444
R1_one_reliable,14,joint_m020,0.6102280580511403,-0.011748445058742174,0.75,0.0,0.4444444444444444
R1_one_reliable,15,joint_m0,0.5530445699937225,0.026993094789704908,0.65,0.0,0.42500000000000004
R1_one_reliable,15,joint_m005,0.5530445699937225,0.026993094789704908,0.65,0.0,0.42500000000000004
R1_one_reliable,15,joint_m010,0.5530445699937225,0.026993094789704908,0.65,0.0,0.42500000000000004
R1_one_reliable,15,joint_m020,0.5530445699937225,0.026993094789704908,0.65,0.0,0.42500000000000004
R1_one_reliable,16,joint_m0,0.5980132450331126,0.05827814569536427,0.55,0.0,0.4222222222222223
R1_one_reliable,16,joint_m005,0.5980132450331126,0.05827814569536427,0.55,0.0,0.4222222222222223
R1_one_reliable,16,joint_m010,0.5397350993377483,0.0,0.3,1.0,0.4222222222222223
R1_one_reliable,16,joint_m020,0.5397350993377483,0.0,0.3,1.0,0.4222222222222223
R1_one_reliable,17,joint_m0,0.6471014492753623,0.06811594202898552,0.8,0.0,0.4222222222222223
R1_one_reliable,17,joint_m005,0.6471014492753623,0.06811594202898552,0.8,0.0,0.4222222222222223
R1_one_reliable,17,joint_m010,0.6623188405797101,0.08333333333333337,0.8,0.0,0.4222222222222223
R1_one_reliable,17,joint_m020,0.6623188405797101,0.08333333333333337,0.8,0.0,0.4222222222222223
R1_one_reliable,18,joint_m0,0.6766390833863781,0.09420751113940162,0.7,0.0,0.4027777777777778
R1_one_reliable,18,joint_m005,0.6766390833863781,0.09420751113940162,0.7,0.0,0.4027777777777778
R1_one_reliable,18,joint_m010,0.6766390833863781,0.09420751113940162,0.7,0.0,0.4027777777777778
R1_one_reliable,18,joint_m020,0.6766390833863781,0.09420751113940162,0.7,0.0,0.4027777777777778
R1_one_reliable,19,joint_m0,0.526602176541717,-0.0018137847642080152,0.65,0.0,0.38055555555555554
R1_one_reliable,19,joint_m005,0.526602176541717,-0.0018137847642080152,0.65,0.0,0.38055555555555554
R1_one_reliable,19,joint_m010,0.526602176541717,-0.0018137847642080152,0.65,0.0,0.38055555555555554
R1_one_reliable,19,joint_m020,0.526602176541717,-0.0018137847642080152,0.65,0.0,0.38055555555555554
R1_one_reliable,20,joint_m0,0.6533333333333333,0.07407407407407407,0.9,0.0,0.41666666666666663
R1_one_reliable,20,joint_m005,0.6533333333333333,0.07407407407407407,0.9,0.0,0.41666666666666663
R1_one_reliable,20,joint_m010,0.6533333333333333,0.07407407407407407,0.9,0.0,0.41666666666666663
R1_one_reliable,20,joint_m020,0.6533333333333333,0.07407407407407407,0.9,0.0,0.41666666666666663
R1_one_reliable,21,joint_m0,0.5881604073838319,0.0,0.45,1.0,0.4361111111111111
R1_one_reliable,21,joint_m005,0.5881604073838319,0.0,0.45,1.0,0.4361111111111111
R1_one_reliable,21,joint_m010,0.5881604073838319,0.0,0.45,1.0,0.4361111111111111
R1_one_reliable,21,joint_m020,0.5881604073838319,0.0,0.45,1.0,0.4361111111111111
R1_one_reliable,22,joint_m0,0.501088139281828,0.03645266594124047,0.5,0.0,0.33333333333333337
R1_one_reliable,22,joint_m005,0.5038084874863983,0.0391730141458107,0.5,0.0,0.33333333333333337
R1_one_reliable,22,joint_m010,0.5038084874863983,0.0391730141458107,0.5,0.0,0.33333333333333337
R1_one_reliable,22,joint_m020,0.5223068552774756,0.05767138193688798,0.6,0.0,0.33333333333333337
R1_one_reliable,23,joint_m0,0.6189042745334136,0.13425647200481633,0.6,0.0,0.43333333333333335
R1_one_reliable,23,joint_m005,0.6189042745334136,0.13425647200481633,0.6,0.0,0.43333333333333335
R1_one_reliable,23,joint_m010,0.6189042745334136,0.13425647200481633,0.6,0.0,0.43333333333333335
R1_one_reliable,23,joint_m020,0.6189042745334136,0.13425647200481633,0.6,0.0,0.43333333333333335
R1_one_reliable,24,joint_m0,0.5439110070257611,0.0,0.7,0.0,0.4222222222222223
R1_one_reliable,24,joint_m005,0.5439110070257611,0.0,0.7,0.0,0.4222222222222223
R1_one_reliable,24,joint_m010,0.5439110070257611,0.0,0.7,0.0,0.4222222222222223
R1_one_reliable,24,joint_m020,0.5439110070257611,0.0,0.7,0.0,0.4222222222222223
R1_one_reliable,25,joint_m0,0.5757031717534411,0.135248354278875,0.85,0.0,0.3944444444444445
R1_one_reliable,25,joint_m005,0.5757031717534411,0.135248354278875,0.85,0.0,0.3944444444444445
R1_one_reliable,25,joint_m010,0.5757031717534411,0.135248354278875,0.85,0.0,0.3944444444444445
R1_one_reliable,25,joint_m020,0.5757031717534411,0.135248354278875,0.85,0.0,0.3944444444444445
R1_one_reliable,26,joint_m0,0.6067992302758178,0.07119948685054522,0.65,0.0,0.38888888888888884
R1_one_reliable,26,joint_m005,0.6067992302758178,0.07119948685054522,0.65,0.0,0.38888888888888884
R1_one_reliable,26,joint_m010,0.6067992302758178,0.07119948685054522,0.65,0.0,0.38888888888888884
R1_one_reliable,26,joint_m020,0.6067992302758178,0.07119948685054522,0.65,0.0,0.38888888888888884
R1_one_reliable,27,joint_m0,0.6070381231671554,0.02521994134897365,0.8,0.0,0.44999999999999996
R1_one_reliable,27,joint_m005,0.6070381231671554,0.02521994134897365,0.8,0.0,0.44999999999999996
R1_one_reliable,27,joint_m010,0.6070381231671554,0.02521994134897365,0.8,0.0,0.44999999999999996
R1_one_reliable,27,joint_m020,0.6070381231671554,0.02521994134897365,0.8,0.0,0.44999999999999996
R1_one_reliable,28,joint_m0,0.6967105263157894,0.04999999999999993,0.65,0.0,0.4111111111111111
R1_one_reliable,28,joint_m005,0.6467105263157895,0.0,0.25,1.0,0.4111111111111111
R1_one_reliable,28,joint_m010,0.6467105263157895,0.0,0.25,1.0,0.4111111111111111
R1_one_reliable,28,joint_m020,0.6467105263157895,0.0,0.25,1.0,0.4111111111111111
R1_one_reliable,29,joint_m0,0.642644431209053,0.04228707564026202,0.85,0.0,0.38888888888888884
R1_one_reliable,29,joint_m005,0.642644431209053,0.04228707564026202,0.85,0.0,0.38888888888888884
R1_one_reliable,29,joint_m010,0.642644431209053,0.04228707564026202,0.85,0.0,0.38888888888888884
R1_one_reliable,29,joint_m020,0.642644431209053,0.04228707564026202,0.85,0.0,0.38888888888888884
R1_one_reliable,30,joint_m0,0.6831187410586552,0.0207439198855508,0.85,0.0,0.4305555555555556
R1_one_reliable,30,joint_m005,0.6831187410586552,0.0207439198855508,0.85,0.0,0.4305555555555556
R1_one_reliable,30,joint_m010,0.6831187410586552,0.0207439198855508,0.85,0.0,0.4305555555555556
R1_one_reliable,30,joint_m020,0.6831187410586552,0.0207439198855508,0.85,0.0,0.4305555555555556
R1_one_reliable,31,joint_m0,0.6539842067480258,0.025843503230437825,0.4,0.0,0.4305555555555556
R1_one_reliable,31,joint_m005,0.6539842067480258,0.025843503230437825,0.4,0.0,0.4305555555555556
R1_one_reliable,31,joint_m010,0.6539842067480258,0.025843503230437825,0.4,0.0,0.4305555555555556
R1_one_reliable,31,joint_m020,0.6539842067480258,0.025843503230437825,0.4,0.0,0.4305555555555556
R1_one_reliable,32,joint_m0,0.5177349097697573,-0.024891101431238294,0.25,0.0,0.37222222222222223
R1_one_reliable,32,joint_m005,0.5426260112009956,0.0,0.3,1.0,0.37222222222222223
R1_one_reliable,32,joint_m010,0.5426260112009956,0.0,0.3,1.0,0.37222222222222223
R1_one_reliable,32,joint_m020,0.5426260112009956,0.0,0.3,1.0,0.37222222222222223
R1_one_reliable,33,joint_m0,0.6798839458413927,0.01934235976789167,0.8,0.0,0.40555555555555556
R1_one_reliable,33,joint_m005,0.6798839458413927,0.01934235976789167,0.8,0.0,0.40555555555555556
R1_one_reliable,33,joint_m010,0.6798839458413927,0.01934235976789167,0.8,0.0,0.40555555555555556
R1_one_reliable,33,joint_m020,0.6798839458413927,0.01934235976789167,0.8,0.0,0.40555555555555556
R1_one_reliable,34,joint_m0,0.5728643216080402,0.04648241206030157,0.65,0.0,0.46111111111111114
R1_one_reliable,34,joint_m005,0.5860552763819096,0.059673366834170904,0.7,0.0,0.46111111111111114
R1_one_reliable,34,joint_m010,0.5860552763819096,0.059673366834170904,0.7,0.0,0.46111111111111114
R1_one_reliable,34,joint_m020,0.5860552763819096,0.059673366834170904,0.7,0.0,0.46111111111111114
R1_one_reliable,35,joint_m0,0.5986049461001902,0.0,0.25,1.0,0.4027777777777778
R1_one_reliable,35,joint_m005,0.5986049461001902,0.0,0.25,1.0,0.4027777777777778
R1_one_reliable,35,joint_m010,0.5986049461001902,0.0,0.25,1.0,0.4027777777777778
R1_one_reliable,35,joint_m020,0.5986049461001902,0.0,0.25,1.0,0.4027777777777778
R1_one_reliable,36,joint_m0,0.5817805383022774,0.0041407867494823725,0.75,0.0,0.38611111111111107
R1_one_reliable,36,joint_m005,0.5817805383022774,0.0041407867494823725,0.75,0.0,0.38611111111111107
R1_one_reliable,36,joint_m010,0.5817805383022774,0.0041407867494823725,0.75,0.0,0.38611111111111107
R1_one_reliable,36,joint_m020,0.5817805383022774,0.0041407867494823725,0.75,0.0,0.38611111111111107
R1_one_reliable,37,joint_m0,0.5696048632218845,0.0,0.2,1.0,0.4222222222222223
R1_one_reliable,37,joint_m005,0.5696048632218845,0.0,0.2,1.0,0.4222222222222223
R1_one_reliable,37,joint_m010,0.5696048632218845,0.0,0.2,1.0,0.4222222222222223
R1_one_reliable,37,joint_m020,0.5696048632218845,0.0,0.2,1.0,0.4222222222222223
R1_one_reliable,38,joint_m0,0.486765655261459,-0.034861200774693346,0.25,0.0,0.4111111111111111
R1_one_reliable,38,joint_m005,0.486765655261459,-0.034861200774693346,0.25,0.0,0.4111111111111111
R1_one_reliable,38,joint_m010,0.486765655261459,-0.034861200774693346,0.25,0.0,0.4111111111111111
R1_one_reliable,38,joint_m020,0.486765655261459,-0.034861200774693346,0.25,0.0,0.4111111111111111
