scenario,repetition,scheme,test_gain_vs_no_graph,support_recovery,no_relation
R1_one_reliable,23,stability_only,0.0690250128578119,0.85,0.0
R1_one_reliable,23,utility_only,0.18003415466573472,1.0,0.0
R1_one_reliable,23,joint,0.18003415466573472,1.0,0.0
R1_one_reliable,24,no_graph,0.0,0.65,1.0
R1_one_reliable,24,equal,0.17362807346736886,0.85,0.0
R1_one_reliable,24,stability_only,0.17362807346736886,0.85,0.0
R1_one_reliable,24,utility_only,0.24296605117781328,1.0,0.0
R1_one_reliable,24,joint,0.24296605117781328,1.0,0.0
R1_one_reliable,25,no_graph,0.0,0.6,1.0
R1_one_reliable,25,equal,0.19540057610547334,0.75,0.0
R1_one_reliable,25,stability_only,0.19540057610547334,0.75,0.0
R1_one_reliable,25,utility_only,0.4392972721910991,0.9,0.0
R1_one_reliable,25,joint,0.4392972721910991,0.9,0.0
R1_one_reliable,26,no_graph,0.0,0.65,1.0
R1_one_reliable,26,equal,0.15874244890017564,0.85,0.0
R1_one_reliable,26,stability_only,0.15874244890017564,0.85,0.0
R1_one_reliable,26,utility_only,0.2470527168684912,1.0,0.0
R1_one_reliable,26,joint,0.2470527168684912,1.0,0.0
R1_one_reliable,27,no_graph,0.0,0.75,1.0
R1_one_reliable,27,equal,0.09799884781755386,0.85,0.0
R1_one_reliable,27,stability_only,0.10434218362535663,0.85,0.0
R1_one_reliable,27,utility_only,0.2187296683784985,0.95,0.0
R1_one_reliable,27,joint,0.2187296683784985,0.95,0.0
R1_one_reliable,28,no_graph,0.0,0.6,1.0
R1_one_reliable,28,equal,0.19968170505707344,0.8,0.0
R1_one_reliable,28,stability_only,0.18849054379521607,0.85,0.0
R1_one_reliable,28,utility_only,0.3375671717505511,1.0,0.0
R1_one_reliable,28,joint,0.3375671717505511,1.0,0.0
R1_one_reliable,29,no_graph,0.0,0.7,1.0
R1_one_reliable,29,equal,0.10974703224818394,0.8,0.0
R1_one_reliable,29,stability_only,0.1856411469059201,0.85,0.0
R1_one_reliable,29,utility_only,0.18564114690591998,0.85,0.0
R1_one_reliable,29,joint,0.18564114690591998,0.85,0.0
R1_one_reliable,30,no_graph,0.0,0.55,1.0
R1_one_reliable,30,equal,0.17106344296553067,0.65,0.0
R1_one_reliable,30,stability_only,0.17106344296553067,0.65,0.0
R1_one_reliable,30,utility_only,0.3277953363652273,0.75,0.0
R1_one_reliable,30,joint,0.3277953363652274,0.75,0.0
R1_one_reliable,31,no_graph,0.0,0.7,1.0
R1_one_reliable,31,equal,0.05789059320559442,0.75,0.0
R1_one_reliable,31,stability_only,0.12125316094051442,0.85,0.0
R1_one_reliable,31,utility_only,0.16487166584580537,0.95,0.0
R1_one_reliable,31,joint,0.16487166584580537,0.95,0.0
R1_one_reliable,32,no_graph,0.0,0.55,1.0
R1_one_reliable,32,equal,0.2569040106740404,0.8,0.0
R1_one_reliable,32,stability_only,0.2569040106740404,0.8,0.0
R1_one_reliable,32,utility_only,0.39926567372761923,0.95,0.0
R1_one_reliable,32,joint,0.39926567372761923,0.95,0.0
R1_one_reliable,33,no_graph,0.0,0.7,1.0
R1_one_reliable,33,equal,-0.03187755568335654,0.75,0.0
R1_one_reliable,33,stability_only,-0.03187755568335637,0.75,0.0
R1_one_reliable,33,utility_only,0.17190503713220195,0.95,0.0
R1_one_reliable,33,joint,0.17190503713220195,0.95,0.0
R1_one_reliable,34,no_graph,0.0,0.65,1.0
R1_one_reliable,34,equal,0.09934014377384315,0.75,0.0
R1_one_reliable,34,stability_only,0.11979862264665697,0.8,0.0
R1_one_reliable,34,utility_only,0.3071877809609805,0.9,0.0
R1_one_reliable,34,joint,0.3071877809609805,0.9,0.0
R1_one_reliable,35,no_graph,0.0,0.6,1.0
R1_one_reliable,35,equal,0.3029851990967732,0.8,0.0
R1_one_reliable,35,stability_only,0.33083069955720446,0.85,0.0
R1_one_reliable,35,utility_only,0.3341488127837677,0.9,0.0
R1_one_reliable,35,joint,0.3341488127837677,0.9,0.0
R1_one_reliable,36,no_graph,0.0,0.7,1.0
R1_one_reliable,36,equal,0.15647557693424852,0.8,0.0
R1_one_reliable,36,stability_only,0.1564755769342484,0.8,0.0
R1_one_reliable,36,utility_only,0.3566264890601914,0.95,0.0
R1_one_reliable,36,joint,0.3566264890601914,0.95,0.0
R1_one_reliable,37,no_graph,0.0,0.5,1.0
R1_one_reliable,37,equal,0.12463701139249561,0.6,0.0
R1_one_reliable,37,stability_only,0.12463701139249561,0.6,0.0
R1_one_reliable,37,utility_only,0.251121911668589,0.8,0.0
R1_one_reliable,37,joint,0.251121911668589,0.8,0.0
R1_one_reliable,38,no_graph,0.0,0.65,1.0
R1_one_reliable,38,equal,0.03361456254030676,0.7,0.0
R1_one_reliable,38,stability_only,0.033614562540306814,0.7,0.0
R1_one_reliable,38,utility_only,0.19114205214095867,0.9,0.0
R1_one_reliable,38,joint,0.19114205214095867,0.9,0.0
R1_one_reliable,39,no_graph,0.0,0.65,1.0
R1_one_reliable,39,equal,0.1567511199234532,0.8,0.0
R1_one_reliable,39,stability_only,0.1567511199234533,0.8,0.0
R1_one_reliable,39,utility_only,0.33640916856133773,0.95,0.0
R1_one_reliable,39,joint,0.33640916856133773,0.95,0.0
R1_one_reliable,40,no_graph,0.0,0.7,1.0
R1_one_reliable,40,equal,0.019086553540392348,0.75,0.0
R1_one_reliable,40,stability_only,0.019086553540392348,0.75,0.0
R1_one_reliable,40,utility_only,0.013939932160006385,0.9,0.0
R1_one_reliable,40,joint,0.013939932160006385,0.9,0.0
R1_one_reliable,41,no_graph,0.0,0.7,1.0
R1_one_reliable,41,equal,0.1073858575032558,0.75,0.0
R1_one_reliable,41,stability_only,0.24814810999274783,0.8,0.0
R1_one_reliable,41,utility_only,0.4528426654959887,0.95,0.0
R1_one_reliable,41,joint,0.4528426654959887,0.95,0.0
R1_one_reliable,42,no_graph,0.0,0.75,1.0
R1_one_reliable,42,equal,0.11374437263443382,0.85,0.0
R1_one_reliable,42,stability_only,0.11374437263443382,0.85,0.0
R1_one_reliable,42,utility_only,0.2633896734374513,1.0,0.0
R1_one_reliable,42,joint,0.2633896734374513,1.0,0.0
R1_one_reliable,43,no_graph,0.0,0.75,1.0
R1_one_reliable,43,equal,0.08249292838390071,0.8,0.0
R1_one_reliable,43,stability_only,0.08249292838390077,0.8,0.0
R1_one_reliable,43,utility_only,0.14004203565173406,0.9,0.0
R1_one_reliable,43,joint,0.14004203565173406,0.9,0.0
R1_one_reliable,44,no_graph,0.0,0.65,1.0
R1_one_reliable,44,equal,0.09970303840207928,0.7,0.0
R1_one_reliable,44,stability_only,0.1607552401818449,0.75,0.0
R1_one_reliable,44,utility_only,0.3697994719482274,1.0,0.0
R1_one_reliable,44,joint,0.3697994719482274,1.0,0.0
R1_one_reliable,45,no_graph,0.0,0.65,1.0
R1_one_reliable,45,equal,0.16378553650535677,0.85,0.0
R1_one_reliable,45,stability_only,0.16378553650535677,0.85,0.0
R1_one_reliable,45,utility_only,0.20189781133758272,0.9,0.0
R1_one_reliable,45,joint,0.23653609415825588,0.95,0.0
R1_one_reliable,46,no_graph,0.0,0.65,1.0
R1_one_reliable,46,equal,0.1145012352515552,0.85,0.0
R1_one_reliable,46,stability_only,0.2344500465695254,0.9,0.0
R1_one_reliable,46,utility_only,0.3663834313130067,1.0,0.0
R1_one_reliable,46,joint,0.3663834313130067,1.0,0.0
R1_one_reliable,47,no_graph,0.0,0.6,1.0
R1_one_reliable,47,equal,0.03678461852396553,0.85,0.0
R1_one_reliable,47,stability_only,0.03678461852396547,0.85,0.0
R1_one_reliable,47,utility_only,0.02970371272000627,0.9,0.0
R1_one_reliable,47,joint,0.02970371272000627,0.9,0.0
R1_one_reliable,48,no_graph,0.0,0.55,1.0
R1_one_reliable,48,equal,0.33628091390079073,0.75,0.0
R1_one_reliable,48,stability_only,0.3362809139007908,0.75,0.0
R1_one_reliable,48,utility_only,0.4940840636754918,0.9,0.0
R1_one_reliable,48,joint,0.5608273297975758,0.95,0.0
R1_one_reliable,49,no_graph,0.0,0.65,1.0
R1_one_reliable,49,equal,0.07871221351470209,0.8,0.0
R1_one_reliable,49,stability_only,0.07871221351470215,0.8,0.0
R1_one_reliable,49,utility_only,0.20311536306573497,0.95,0.0
R1_one_reliable,49,joint,0.2031153630657349,0.95,0.0
R2_complementary,0,no_graph,0.0,0.7,1.0
R2_complementary,0,equal,0.08135630540086458,0.8,0.0
R2_complementary,0,stability_only,0.08135630540086464,0.8,0.0
R2_complementary,0,utility_only,0.12322399867554368,0.85,0.0
R2_complementary,0,joint,0.12322399867554362,0.85,0.0
R2_complementary,1,no_graph,0.0,0.8,1.0
R2_complementary,1,equal,-0.0003030156709135645,0.85,0.0
R2_complementary,1,stability_only,0.0002871138152462094,0.9,0.0
R2_complementary,1,utility_only,-0.00030301567091367554,0.85,0.0
R2_complementary,1,joint,-0.00030301567091362003,0.85,0.0
R2_complementary,2,no_graph,0.0,0.55,1.0
R2_complementary,2,equal,0.09822008519169168,0.75,0.0
R2_complementary,2,stability_only,0.09822008519169168,0.75,0.0
R2_complementary,2,utility_only,0.11955678664776404,0.65,0.0
R2_complementary,2,joint,0.11955678664776404,0.65,0.0
R2_complementary,3,no_graph,0.0,0.75,1.0
R2_complementary,3,equal,0.13734820905625478,0.9,0.0
R2_complementary,3,stability_only,0.16466425184613132,0.95,0.0
R2_complementary,3,utility_only,0.17127069882783685,0.95,0.0
R2_complementary,3,joint,0.17346871582704543,1.0,0.0
R2_complementary,4,no_graph,0.0,0.75,1.0
R2_complementary,4,equal,5.551115123125783e-17,0.75,0.0
R2_complementary,4,stability_only,5.551115123125783e-17,0.75,0.0
R2_complementary,4,utility_only,0.02545580918416962,0.8,0.0
R2_complementary,4,joint,0.02545580918416962,0.8,0.0
R2_complementary,5,no_graph,0.0,0.7,1.0
R2_complementary,5,equal,0.254987122105289,0.85,0.0
R2_complementary,5,stability_only,0.2549871221052892,0.85,0.0
R2_complementary,5,utility_only,0.34160525127902536,0.9,0.0
R2_complementary,5,joint,0.271973005906197,0.85,0.0
R2_complementary,6,no_graph,0.0,0.6,1.0
R2_complementary,6,equal,0.3593756682771598,0.85,0.0
R2_complementary,6,stability_only,0.3378404497840101,0.85,0.0
R2_complementary,6,utility_only,0.4029561314606145,0.9,0.0
R2_complementary,6,joint,0.40295613146061454,0.9,0.0
R2_complementary,7,no_graph,0.0,0.65,1.0
R2_complementary,7,equal,0.06650012745380396,0.75,0.0
R2_complementary,7,stability_only,0.047711503020161916,0.7,0.0
R2_complementary,7,utility_only,0.1795062891246883,0.85,0.0
R2_complementary,7,joint,0.1795062891246883,0.85,0.0
R2_complementary,8,no_graph,0.0,0.65,1.0
R2_complementary,8,equal,0.04406477812438747,0.75,0.0
R2_complementary,8,stability_only,0.044064778124387416,0.75,0.0
R2_complementary,8,utility_only,0.06935853412984183,0.75,0.0
R2_complementary,8,joint,0.06935853412984183,0.75,0.0
R2_complementary,9,no_graph,0.0,0.6,1.0
R2_complementary,9,equal,0.057966229026435556,0.7,0.0
R2_complementary,9,stability_only,0.057966229026435556,0.7,0.0
R2_complementary,9,utility_only,0.19167890737863563,0.8,0.0
R2_complementary,9,joint,0.19167890737863563,0.8,0.0
R2_complementary,10,no_graph,0.0,0.75,1.0
R2_complementary,10,equal,0.04624891759064367,0.85,0.0
R2_complementary,10,stability_only,0.036080279060213744,0.8,0.0
R2_complementary,10,utility_only,0.036080279060213716,0.8,0.0
R2_complementary,10,joint,0.036080279060213716,0.8,0.0
R2_complementary,11,no_graph,0.0,0.65,1.0
R2_complementary,11,equal,0.0321128013703994,0.7,0.0
R2_complementary,11,stability_only,0.03211280137039951,0.7,0.0
R2_complementary,11,utility_only,0.09511624071987557,0.75,0.0
R2_complementary,11,joint,0.09511624071987557,0.75,0.0
R2_complementary,12,no_graph,0.0,0.65,1.0
R2_complementary,12,equal,0.1549305536963615,0.85,0.0
R2_complementary,12,stability_only,0.15493055369636155,0.85,0.0
R2_complementary,12,utility_only,0.06655456670819643,0.8,0.0
R2_complementary,12,joint,0.06655456670819643,0.8,0.0
R2_complementary,13,no_graph,0.0,0.7,1.0
R2_complementary,13,equal,0.17862924104792233,0.8,0.0
R2_complementary,13,stability_only,0.17862924104792233,0.8,0.0
R2_complementary,13,utility_only,0.08981890108677493,0.75,0.0
R2_complementary,13,joint,0.08981890108677493,0.75,0.0
R2_complementary,14,no_graph,0.0,0.6,1.0
R2_complementary,14,equal,0.18531179965463368,0.75,0.0
R2_complementary,14,stability_only,0.18531179965463368,0.75,0.0
R2_complementary,14,utility_only,0.2548214297103987,0.8,0.0
R2_complementary,14,joint,0.2548214297103987,0.8,0.0
R2_complementary,15,no_graph,0.0,0.6,1.0
R2_complementary,15,equal,0.20811018326309244,0.8,0.0
R2_complementary,15,stability_only,0.20811018326309244,0.8,0.0
R2_complementary,15,utility_only,0.07942906864993016,0.85,0.0
R2_complementary,15,joint,0.07942906864993021,0.85,0.0
R2_complementary,16,no_graph,0.0,0.65,1.0
R2_complementary,16,equal,0.15935406497098065,0.9,0.0
R2_complementary,16,stability_only,0.1593540649709806,0.9,0.0
R2_complementary,16,utility_only,0.1593540649709806,0.9,0.0
R2_complementary,16,joint,0.1593540649709806,0.9,0.0
R2_complementary,17,no_graph,0.0,0.7,1.0
R2_complementary,17,equal,0.07075367100066571,0.85,0.0
R2_complementary,17,stability_only,0.07075367100066554,0.85,0.0
R2_complementary,17,utility_only,0.07075367100066571,0.85,0.0
R2_complementary,17,joint,0.07075367100066571,0.85,0.0
R2_complementary,18,no_graph,0.0,0.7,1.0
R2_complementary,18,equal,0.19887059402903617,0.85,0.0
R2_complementary,18,stability_only,0.1988705940290364,0.85,0.0
R2_complementary,18,utility_only,0.14853559809803107,0.8,0.0
R2_complementary,18,joint,0.14853559809803107,0.8,0.0
R2_complementary,19,no_graph,0.0,0.75,1.0
R2_complementary,19,equal,0.03821568337416936,0.8,0.0
R2_complementary,19,stability_only,-0.03297052316935273,0.85,0.0
R2_complementary,19,utility_only,-0.03297052316935273,0.85,0.0
R2_complementary,19,joint,-0.03297052316935262,0.85,0.0
R2_complementary,20,no_graph,0.0,0.75,1.0
R2_complementary,20,equal,0.08662385999022437,0.85,0.0
R2_complementary,20,stability_only,0.08662385999022437,0.85,0.0
R2_complementary,20,utility_only,0.0866238599902246,0.85,0.0
R2_complementary,20,joint,0.0866238599902246,0.85,0.0
R2_complementary,21,no_graph,0.0,0.7,1.0
R2_complementary,21,equal,0.08616047333950028,0.8,0.0
R2_complementary,21,stability_only,0.08616047333950039,0.8,0.0
R2_complementary,21,utility_only,0.08616047333950028,0.8,0.0
R2_complementary,21,joint,0.08616047333950039,0.8,0.0
R2_complementary,22,no_graph,0.0,0.75,1.0
R2_complementary,22,equal,0.03838869737041323,0.85,0.0
R2_complementary,22,stability_only,0.03838869737041323,0.…6860 tokens truncated…ul,26,equal,6.925053251088942e-05,0.65,0.0
R4_all_harmful,26,stability_only,6.925053251088942e-05,0.65,0.0
R4_all_harmful,26,utility_only,0.0,0.65,1.0
R4_all_harmful,26,joint,0.0,0.65,1.0
R4_all_harmful,27,no_graph,0.0,0.7,1.0
R4_all_harmful,27,equal,-0.0716229154503003,0.65,0.0
R4_all_harmful,27,stability_only,-0.0716229154503003,0.65,0.0
R4_all_harmful,27,utility_only,-0.08033552688769385,0.65,0.0
R4_all_harmful,27,joint,-0.08033552688769385,0.65,0.0
R4_all_harmful,28,no_graph,0.0,0.7,1.0
R4_all_harmful,28,equal,-0.019802213509132027,0.65,0.0
R4_all_harmful,28,stability_only,-0.019802213509132027,0.65,0.0
R4_all_harmful,28,utility_only,-0.16102883215724273,0.55,0.0
R4_all_harmful,28,joint,-0.16102883215724273,0.55,0.0
R4_all_harmful,29,no_graph,0.0,0.6,1.0
R4_all_harmful,29,equal,-0.1155277288750658,0.55,0.0
R4_all_harmful,29,stability_only,-0.07895307679703745,0.55,0.0
R4_all_harmful,29,utility_only,0.0,0.6,1.0
R4_all_harmful,29,joint,0.0,0.6,1.0
R4_all_harmful,30,no_graph,0.0,0.55,1.0
R4_all_harmful,30,equal,0.027197730731637115,0.55,0.0
R4_all_harmful,30,stability_only,0.027197730731637115,0.55,0.0
R4_all_harmful,30,utility_only,0.09169316453038467,0.55,0.0
R4_all_harmful,30,joint,0.09169316453038467,0.55,0.0
R4_all_harmful,31,no_graph,0.0,0.7,1.0
R4_all_harmful,31,equal,-0.015209413418898643,0.65,0.0
R4_all_harmful,31,stability_only,-0.015209413418898643,0.65,0.0
R4_all_harmful,31,utility_only,0.0,0.7,1.0
R4_all_harmful,31,joint,0.0,0.7,1.0
R4_all_harmful,32,no_graph,0.0,0.6,1.0
R4_all_harmful,32,equal,-0.01731258150725723,0.55,0.0
R4_all_harmful,32,stability_only,-0.01731258150725723,0.55,0.0
R4_all_harmful,32,utility_only,0.0,0.6,1.0
R4_all_harmful,32,joint,0.0,0.6,1.0
R4_all_harmful,33,no_graph,0.0,0.65,1.0
R4_all_harmful,33,equal,-0.038235048122284176,0.6,0.0
R4_all_harmful,33,stability_only,-0.018796187235924355,0.6,0.0
R4_all_harmful,33,utility_only,0.0,0.65,1.0
R4_all_harmful,33,joint,0.0,0.65,1.0
R4_all_harmful,34,no_graph,0.0,0.65,1.0
R4_all_harmful,34,equal,0.04691155880631265,0.65,0.0
R4_all_harmful,34,stability_only,0.04691155880631265,0.65,0.0
R4_all_harmful,34,utility_only,0.0,0.65,1.0
R4_all_harmful,34,joint,0.0,0.65,1.0
R4_all_harmful,35,no_graph,0.0,0.55,1.0
R4_all_harmful,35,equal,-0.07615017098405041,0.5,0.0
R4_all_harmful,35,stability_only,-0.06718316749565201,0.5,0.0
R4_all_harmful,35,utility_only,-0.061543997324908006,0.5,0.0
R4_all_harmful,35,joint,-0.061543997324908006,0.5,0.0
R4_all_harmful,36,no_graph,0.0,0.7,1.0
R4_all_harmful,36,equal,0.01221177564468734,0.7,0.0
R4_all_harmful,36,stability_only,0.01221177564468734,0.7,0.0
R4_all_harmful,36,utility_only,0.0,0.7,1.0
R4_all_harmful,36,joint,0.0,0.7,1.0
R4_all_harmful,37,no_graph,0.0,0.6,1.0
R4_all_harmful,37,equal,-0.03445346140472427,0.6,0.0
R4_all_harmful,37,stability_only,-0.03445346140472427,0.6,0.0
R4_all_harmful,37,utility_only,-0.019932358000513295,0.6,0.0
R4_all_harmful,37,joint,-0.019932358000513295,0.6,0.0
R4_all_harmful,38,no_graph,0.0,0.65,1.0
R4_all_harmful,38,equal,-0.01324377693691492,0.65,0.0
R4_all_harmful,38,stability_only,-0.013243776936915141,0.65,0.0
R4_all_harmful,38,utility_only,0.0,0.65,1.0
R4_all_harmful,38,joint,0.0,0.65,1.0
R4_all_harmful,39,no_graph,0.0,0.8,1.0
R4_all_harmful,39,equal,-0.05865861507519615,0.75,0.0
R4_all_harmful,39,stability_only,-0.05865861507519615,0.75,0.0
R4_all_harmful,39,utility_only,0.0,0.8,1.0
R4_all_harmful,39,joint,0.0,0.8,1.0
R4_all_harmful,40,no_graph,0.0,0.7,1.0
R4_all_harmful,40,equal,0.0,0.7,0.0
R4_all_harmful,40,stability_only,0.0,0.7,0.0
R4_all_harmful,40,utility_only,0.0,0.7,0.0
R4_all_harmful,40,joint,0.0,0.7,0.0
R4_all_harmful,41,no_graph,0.0,0.7,1.0
R4_all_harmful,41,equal,0.0013980494115078401,0.7,0.0
R4_all_harmful,41,stability_only,0.0013980494115078401,0.7,0.0
R4_all_harmful,41,utility_only,-0.02904023397838551,0.65,0.0
R4_all_harmful,41,joint,-0.02904023397838551,0.65,0.0
R4_all_harmful,42,no_graph,0.0,0.65,1.0
R4_all_harmful,42,equal,-0.05549636337050745,0.6,0.0
R4_all_harmful,42,stability_only,-0.05549636337050745,0.6,0.0
R4_all_harmful,42,utility_only,0.0,0.65,1.0
R4_all_harmful,42,joint,0.0,0.65,1.0
R4_all_harmful,43,no_graph,0.0,0.75,1.0
R4_all_harmful,43,equal,-0.04571318114911116,0.7,0.0
R4_all_harmful,43,stability_only,-0.04571318114911138,0.7,0.0
R4_all_harmful,43,utility_only,0.0,0.75,1.0
R4_all_harmful,43,joint,0.0,0.75,1.0
R4_all_harmful,44,no_graph,0.0,0.6,1.0
R4_all_harmful,44,equal,0.01101370611667174,0.55,0.0
R4_all_harmful,44,stability_only,0.01101370611667174,0.55,0.0
R4_all_harmful,44,utility_only,0.0,0.6,1.0
